cam,bug
1.0,0
0.571428571,0
0.444444444,1
0.145061728,0
1.0,0
0.5,0
0.31372549,0
0.5,0
0.625,0
0.316666667,0
0.346153846,0
1.0,0
0.166666667,0
0.666666667,0
0.833333333,0
0.147826087,0
0.177272727,1
0.487179487,0
0.23809523800000001,1
1.0,0
1.0,0
0.41666666700000005,0
0.181818182,0
0.666666667,0
0.46428571399999996,1
0.20588235300000002,1
0.37142857100000004,1
0.75,0
0.666666667,0
0.583333333,0
0.3,0
1.0,0
0.55,0
0.233333333,0
0.55,0
0.666666667,0
0.75,0
0.472222222,0
0.226337449,0
0.666666667,0
0.291666667,0
0.65,0
0.5555555560000001,0
0.5,0
1.0,0
0.166666667,0
0.433333333,0
0.533333333,0
0.27678571399999996,0
0.708333333,0
1.0,0
1.0,0
0.444444444,0
0.666666667,0
0.333333333,0
0.761904762,0
0.71875,0
0.75,0
0.5,0
0.333333333,0
0.52,0
0.5,0
0.6,0
0.318181818,0
0.444444444,0
0.625,0
0.28125,0
0.5,1
0.363636364,0
0.428571429,0
0.833333333,0
0.5,0
0.316666667,0
0.5,0
0.26,0
1.0,0
0.46666666700000003,0
0.41216216200000005,0
0.20769230800000002,0
0.666666667,0
0.282051282,0
1.0,0
0.26,0
0.314285714,0
0.3625,0
0.666666667,0
0.45833333299999995,0
0.46666666700000003,0
1.0,0
0.5,0
0.18333333300000001,0
0.4375,0
0.28571428600000004,1
0.5,0
0.45833333299999995,0
0.5,0
0.35,1
0.666666667,0
0.35,0
0.625,0
0.18803418800000002,0
0.25,0
0.06862745099999999,3
0.666666667,0
0.625,1
0.41666666700000005,0
0.4,0
0.444444444,0
0.393939394,0
0.5,0
0.46875,0
0.481481481,0
0.5555555560000001,0
0.583333333,0
1.0,0
0.43181818200000005,0
0.35714285700000004,0
0.3125,0
0.53030303,0
0.75,0
0.625,0
0.46666666700000003,0
0.40740740700000005,0
1.0,0
0.21875,1
0.31578947399999996,0
0.5555555560000001,0
0.666666667,0
0.1078125,0
1.0,0
0.6,0
0.283333333,0
0.292857143,1
0.222222222,0
0.71875,0
0.222222222,0
0.1375,0
0.236111111,0
0.16847826100000002,0
0.254901961,0
0.192307692,0
0.38333333299999994,0
0.7,0
0.5,0
0.4,0
0.6,0
0.404761905,0
0.375,0
0.193877551,0
0.833333333,0
0.359375,0
0.323076923,0
0.666666667,0
0.75,0
0.25,0
1.0,0
0.36111111100000004,0
0.40740740700000005,0
0.37777777799999995,0
0.079545455,0
0.583333333,0
0.75,0
0.28571428600000004,0
0.45,0
1.0,0
0.666666667,0
0.75,0
0.666666667,0
0.5555555560000001,0
0.34375,0
0.571428571,0
0.41666666700000005,0
0.22777777800000001,0
0.205450734,0
0.4,0
0.272727273,0
0.46666666700000003,0
0.4,0
0.5,0
0.3203125,0
0.176190476,0
0.4,0
0.5,0
0.46666666700000003,0
0.666666667,0
0.666666667,0
0.18589743600000003,0
0.296296296,0
0.6,0
0.46666666700000003,0
1.0,0
0.119298246,0
0.666666667,0
0.314285714,0
0.5,0
0.285,1
0.75,0
0.6,0
0.333333333,0
1.0,0
0.46666666700000003,0
0.625,0
0.5,0
0.25,0
0.5555555560000001,0
0.666666667,0
0.533333333,0
0.727272727,0
0.342105263,0
0.35714285700000004,1
0.5,0
0.833333333,0
0.45833333299999995,0
0.666666667,0
0.666666667,0
0.141608392,0
0.6,0
0.535714286,0
0.4,0
1.0,0
0.666666667,0
0.41666666700000005,1
0.46666666700000003,0
0.294642857,0
0.666666667,0
0.7,0
0.75,0
0.37209302299999997,0
0.48,0
0.333333333,0
0.17857142899999998,0
0.28571428600000004,0
1.0,0
0.4,0
0.393939394,0
1.0,0
0.5,0
0.36666666700000006,0
0.139880952,0
0.192307692,0
0.098039216,0
